training,model,lang,cv_folds,mean_macro_f1,std_macro_f1,mean_jaccard,std_jaccard,baseline_mean_macro_f1,baseline_std_macro_f1,baseline_mean_jaccard,baseline_std_jaccard,per_fold_macro_f1,per_fold_jaccard,cv_results_path
augmented_training,afro-xlmr,afr,3,0.3827802495243593,0.008828234911867544,0.2682270758311685,0.012755111487277286,0.09018264840182649,0.0,0.06181533646322379,0.0,"[0.3866170612599195, 0.3705727351301773, 0.39115095218298107]","[0.27488187392175095, 0.253520831684855, 0.2762785218868995]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/augmented_training/results/afro-xlmr/afr/cv_results.json
augmented_training,afro-xlmr,amh,3,0.6637363324652963,0.004581662947731673,0.5019125537209632,0.0071412812468570645,0.04487804878048781,0.0,0.025930101465614433,0.0,"[0.6651819700778749, 0.6575435911760326, 0.6684834361419815]","[0.5030857926207826, 0.49425730422629416, 0.508394564315813]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/augmented_training/results/afro-xlmr/amh/cv_results.json
augmented_training,afro-xlmr,swa,3,0.29394553985992844,0.023388472510116113,0.18117581562025406,0.019922278306447393,0.0,0.0,0.0,0.0,"[0.3006077414555813, 0.26255660108483003, 0.318672277039374]","[0.18401851762410146, 0.15998488048240236, 0.19952404875425836]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/augmented_training/results/afro-xlmr/swa/cv_results.json
augmented_training,mbert,afr,3,0.2917570093912922,0.00968014976558321,0.1922320510009536,0.009725061868549429,0.09018264840182649,0.0,0.06181533646322379,0.0,"[0.2792556874172191, 0.30283940514977464, 0.2931759356068827]","[0.18150056363303624, 0.20046191976969588, 0.1947336696001287]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/augmented_training/results/mbert/afr/cv_results.json
augmented_training,mbert,amh,3,0.2997869267608106,0.006303665176039002,0.1915634737228209,0.0051096057107814594,0.04487804878048781,0.0,0.025930101465614433,0.0,"[0.305414863234192, 0.29098555171765533, 0.30296036533058435]","[0.19568732731811944, 0.18584731045730887, 0.19315578339303432]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/augmented_training/results/mbert/amh/cv_results.json
augmented_training,mbert,swa,3,0.23773867390587533,0.009576583899572515,0.14150899059246944,0.007998846593717754,0.0,0.0,0.0,0.0,"[0.239057398413177, 0.22540617312680175, 0.24875245017764724]","[0.1427145874307128, 0.1329757792567624, 0.14883660508993304]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/augmented_training/results/mbert/swa/cv_results.json
augmented_training,xlm-roberta,afr,3,0.3543037281028525,0.010066005475248397,0.24370702557222432,0.007920984636736808,0.09018264840182649,0.0,0.06181533646322379,0.0,"[0.343175149986239, 0.3675558491812036, 0.3521801851411148]","[0.23827566708555473, 0.252795871717295, 0.24004953791382314]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/augmented_training/results/xlm-roberta/afr/cv_results.json
augmented_training,xlm-roberta,amh,3,0.6410822646546631,0.0042214577714417036,0.47866585267624706,0.006115221584822983,0.04487804878048781,0.0,0.025930101465614433,0.0,"[0.6418069500722158, 0.6355879455373002, 0.6458518983544732]","[0.47817452812004285, 0.4728111145439795, 0.48501191536471877]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/augmented_training/results/xlm-roberta/amh/cv_results.json
augmented_training,xlm-roberta,swa,3,0.27672608524980485,0.007764949517912259,0.16723739131870008,0.007031832794764088,0.0,0.0,0.0,0.0,"[0.26824478152282705, 0.28700762089314363, 0.27492585333344405]","[0.16062372838873465, 0.17462359399014593, 0.16646485157721963]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/augmented_training/results/xlm-roberta/swa/cv_results.json
baseline,afro-xlmr,afr,3,0.3999727514440701,0.0083951497168987,0.2785207478437303,0.008081128133703463,0.09018264840182649,0.0,0.06181533646322379,0.0,"[0.3910386808874007, 0.41121138886813485, 0.3976681845766747]","[0.271051456663335, 0.2870991418646565, 0.2774116450031993]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/baseline/results/afro-xlmr/afr/cv_results.json
baseline,afro-xlmr,amh,3,0.6681071774036936,0.006495621642608183,0.5074081493363981,0.007398407219159894,0.0,0.0,0.0,0.0,"[0.6745314109792858, 0.6592085354897282, 0.670581585742067]","[0.5129198718125965, 0.4989996678307111, 0.5103049083658867]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/baseline/results/afro-xlmr/amh/cv_results.json
baseline,afro-xlmr,swa,3,0.31625431833736845,0.0075638621320604045,0.19621930079242078,0.0072207196550840725,0.0,0.0,0.0,0.0,"[0.32584406569675206, 0.30735510857048515, 0.31556378074486824]","[0.20370465555279516, 0.18929607465127693, 0.19565717217319026]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/baseline/results/afro-xlmr/swa/cv_results.json
baseline,mbert,afr,3,0.3259143945823057,0.02584044585665204,0.21111405079113146,0.023102610922361655,0.09018264840182649,0.0,0.06181533646322379,0.0,"[0.34483628483001666, 0.2893782852817359, 0.34352861363516457]","[0.22552026959424962, 0.18446675777910582, 0.22335512500003904]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/baseline/results/mbert/afr/cv_results.json
baseline,mbert,amh,3,0.30554197655087445,0.0009083603543382341,0.1951704942614395,0.000989702239418507,0.0,0.0,0.0,0.0,"[0.30429336860064454, 0.3064278363325914, 0.3059047247193874]","[0.1940667793972898, 0.19597900446809757, 0.19546569891893115]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/baseline/results/mbert/amh/cv_results.json
baseline,mbert,swa,3,0.25119929155352266,0.0016526998161644948,0.1495646618044414,0.0016041782811190546,0.0,0.0,0.0,0.0,"[0.2505650778515257, 0.25346459109485614, 0.24956820571418614]","[0.14921576898689826, 0.1513145742741023, 0.1481636421523236]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/baseline/results/mbert/swa/cv_results.json
baseline,xlm-roberta,afr,3,0.3743457271697644,0.017278812088016234,0.2544347874176596,0.014068184670975634,0.09018264840182649,0.0,0.06181533646322379,0.0,"[0.3949638002496307, 0.35267855180278596, 0.3753948294568765]","[0.26422065266275035, 0.238312809822795, 0.26077089976743345]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/baseline/results/xlm-roberta/afr/cv_results.json
baseline,xlm-roberta,amh,3,0.6471935796054354,0.016813906891453432,0.48480584533995247,0.018338704721170666,0.0,0.0,0.0,0.0,"[0.6688127474204122, 0.6278096219789747, 0.6449583694169198]","[0.5041428178432278, 0.467662788086848, 0.4826119300897817]",/var/home/richter/Documents/Varsity/NLP/Other/Multilabel-Emotion-Analysis-for-African-Languages/baseline/results/xlm-roberta/amh/cv_results.json
